Datetime,Resolution code,Offshore/onshore,Region,Grid connection type,Measured & Upscaled,Most recent forecast,Most recent P10,Most recent P90,Day Ahead 11AM forecast,Day Ahead 11AM P10,Day Ahead 11AM P90,Day-ahead 6PM forecast,Day-ahead 6PM P10,Day-ahead 6PM P90,Week-ahead forecast,Week-ahead P10,Week-ahead P90,Monitored capacity,Load factor,Decremental bid Indicator
18-01-2018 10:15,PT15M,Onshore,Flanders,Elia,19.87,35.22,29.76,40.67,39.33,34.23,44.2,39.5,34.42,44.55,33.19,18.59,46.96,53.86,0.37,''
18-01-2018 10:15,PT15M,Onshore,Wallonia,Elia,77.61,93.91,83.24,100.25,95.17,83.78,101.95,94.67,82.8,102.15,77.09,48.37,100.18,104.5,0.74,''
18-01-2018 10:15,PT15M,Offshore,Federal,Elia,342.83,212.91,105.38,375.25,336.51,250.83,422.2,342.07,246.22,437.81,739.09,558.75,860.15,877.2,0.39,''
18-01-2018 10:00,PT15M,Onshore,Wallonia,Elia,61.86,93.74,83.45,100.43,95.18,84.54,102.15,94.43,83.39,102.31,77.04,48.41,100.09,104.5,0.59,''
18-01-2018 10:00,PT15M,Onshore,Wallonia,Dso,341.24,458.12,392.06,519.64,490.5,432.49,536.53,494.86,435.96,543.22,418.94,268.77,539.09,595.7,0.57,''
18-01-2018 10:00,PT15M,Onshore,Flanders,Dso,492.97,719.73,609.11,818.11,752.8,648.97,844.33,757.03,653.25,848.21,570.84,322.59,799.24,990.66,0.5,''
18-01-2018 10:00,PT15M,Offshore,Federal,Elia,177.47,202.56,101.95,366.67,336.9,252.1,421.7,358.99,265.11,452.76,740.15,557.41,860.2,877.2,0.2,''
18-01-2018 10:00,PT15M,Onshore,Flanders,Elia,17.28,35.46,30.6,40.32,39.36,34.89,43.75,39.69,35.27,44.15,33.13,18.54,46.81,53.86,0.32,''
18-01-2018 09:45,PT15M,Onshore,Wallonia,Elia,70.7,93.49,83.45,100.59,95.04,84.83,102.29,94.26,83.69,102.42,76.96,48.41,100,104.5,0.68,''
18-01-2018 09:45,PT15M,Offshore,Federal,Elia,40.79,206.5,108.43,370.86,345.7,263.37,428.02,380.94,289.68,472.08,740.37,555.76,860.23,877.2,0.05,''
